Year of Data,STRUCTURE_NUMBER_008,Bridge Health Index (Overall),Bridge Health Index (Deck),Bridge Health Index (Super),Bridge Health Index (Sub)
1995,200000CE0075010,81.5,96.98,79.5,83.5
1996,200000CE0075010,91.01,96.01,90.62,91.41
1997,200000CE0075010,91.01,95.05,90.62,91.41
1998,200000CE0075010,71.61,94.1,90.62,63.83
1999,200000CE0075010,71.61,93.16,90.62,63.83
2000,200000CE0075010,71.61,92.23,90.62,63.83
2001,200000CE0075010,71.61,91.31,90.62,63.83
2002,200000CE0075010,71.61,90.4,90.62,63.83
2003,200000CE0075010,71.61,89.49,90.62,63.83
2004,200000CE0075010,91.01,88.6,90.62,91.41
2005,200000CE0075010,91.01,87.71,90.62,91.41
2006,200000CE0075010,0.0,86.83,90.62,91.41
2007,200000CE0075010,0.0,85.97,90.62,91.41
2008,200000CE0075010,0.0,85.11,90.62,91.41
2009,200000CE0075010,0.0,84.25,90.62,91.41
2010,200000CE0075010,0.0,83.41,90.62,91.41
2011,200000CE0075010,0.0,82.58,90.62,91.41
2012,200000CE0075010,0.0,81.75,90.62,91.41
2013,200000CE0075010,0.0,80.93,90.62,91.41
2014,200000CE0075010,0.0,80.13,90.62,91.41
2015,200000CE0075010,0.0,79.32,90.62,91.41
2016,200000CE0075010,0.0,78.53,90.62,91.41
1995,300000P-NR02010,93.85,94.06,95.25,91.41
1996,300000P-NR02010,93.85,94.06,95.25,91.41
1997,300000P-NR02010,93.85,94.06,95.25,91.41
1998,300000P-NR02010,93.85,94.06,95.25,91.41
1999,300000P-NR02010,96.37,97.96,95.25,95.63
2000,300000P-NR02010,96.37,97.96,95.25,95.63
2001,300000P-NR02010,96.37,97.96,95.25,95.63
2002,300000P-NR02010,96.37,97.96,95.25,95.63
2003,300000P-NR02010,94.9,94.06,95.25,95.63
2004,300000P-NR02010,94.9,94.06,95.25,95.63
2005,300000P-NR02010,94.9,94.06,95.25,95.63
2006,300000P-NR02010,94.9,94.06,95.25,95.63
2007,300000P-NR02010,94.9,94.06,95.25,95.63
2008,300000P-NR02010,94.9,94.06,95.25,95.63
2009,300000P-NR02010,94.9,94.06,95.25,95.63
2010,300000P-NR02010,94.9,94.06,95.25,95.63
2011,300000P-NR02010,94.9,94.06,95.25,95.63
2012,300000P-NR02010,94.9,94.06,95.25,95.63
2013,300000P-NR02010,94.9,94.06,95.25,95.63
2014,300000P-NR02010,94.9,94.06,95.25,95.63
2015,300000P-NR02010,94.9,94.06,95.25,95.63
2016,300000P-NR02010,94.9,94.06,95.25,95.63
2017,300000P-NR02010,93.16,94.06,90.62,95.63
2018,300000P-NR02010,93.16,94.06,90.62,95.63
2019,300000P-NR02010,93.16,94.06,90.62,95.63
2020,300000P-NR02010,93.16,94.06,90.62,95.63
2021,300000P-NR02010,93.16,94.06,90.62,95.63
1999,300000Q-MT01010,70.99,94.06,79.5,63.83
2000,300000Q-MT01010,70.99,94.06,79.5,63.83
2001,300000Q-MT01010,70.99,94.06,79.5,63.83
2002,300000Q-MT01010,70.99,94.06,79.5,63.83
2003,300000Q-MT01010,70.99,94.06,79.5,63.83
2004,300000Q-MT01010,91.08,91.7,90.62,91.41
2005,300000Q-MT01010,91.08,91.7,90.62,91.41
2006,300000Q-MT01010,85.89,91.7,79.5,91.41
2007,300000Q-MT01010,85.89,91.7,79.5,91.41
2008,300000Q-MT01010,85.89,91.7,79.5,91.41
2009,300000Q-MT01010,85.89,91.7,79.5,91.41
2010,300000Q-MT01010,83.55,97.96,79.5,83.5
2011,300000Q-MT01010,83.55,97.96,79.5,83.5
2012,300000Q-MT01010,83.03,94.06,79.5,83.5
2013,300000Q-MT01010,83.03,94.06,79.5,83.5
2014,300000Q-MT01010,83.03,94.06,79.5,83.5
2015,300000Q-MT01010,83.03,94.06,79.5,83.5
2016,300000Q-MT01010,83.03,94.06,79.5,83.5
2017,300000Q-MT01010,83.03,94.06,79.5,83.5
2018,300000Q-MT01010,83.03,94.06,79.5,83.5
2019,300000Q-MT01010,83.03,94.06,79.5,83.5
2020,300000Q-MT01010,83.03,94.06,79.5,83.5
2021,300000Q-MT01010,83.03,94.06,79.5,83.5
1995,300000P-NR01010,96.37,97.96,95.25,95.63
1996,300000P-NR01010,96.37,97.96,95.25,95.63
1997,300000P-NR01010,94.9,94.06,95.25,95.63
1998,300000P-NR01010,94.9,94.06,95.25,95.63
1999,300000P-NR01010,96.62,94.06,99.87,95.63
2000,300000P-NR01010,96.62,94.06,99.87,95.63
2001,300000P-NR01010,98.09,97.96,99.87,95.63
2002,300000P-NR01010,98.09,97.96,99.87,95.63
2003,300000P-NR01010,96.37,97.96,95.25,95.63
2004,300000P-NR01010,96.37,97.96,95.25,95.63
